speciescode,speciesname,sub_unit,levelReport,season_selected,keywintering,annex_i,annex_ii_partA,annex_ii_partB,distribution_surface_area,population_minimum_size_raw,population_maximum_size_raw,population_minimum_size,population_maximum_size,population_size_unit,population_trend,population_trend_long,red_list_cat,conclusion_status_label,contribution_target1,red_list_cat_prev,conclusion_status_label_prev,season_reported,taxOrder,taxFamily,taxGroup_en,taxFamily_en
A887,Uria aalge all others,,Sub-species,B,N,N,N,N,32300,1652828,1669072,1650000,1670000,i,I,I,LC,Secure,A,NE,Not Evaluated,B,Charadriiformes,Alcidae,"Waders, Gulls and Auks",Auks
A889,Mareca strepera,,,B,N,N,Y-CTC,N,546000,52410,77494,52400,77500,p,I,I,LC,Secure,A,LC,Secure,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A891,Lagopus muta all others,,Sub-species,B,N,N,Y-HTL,N,102000,89000,209500,89000,210000,p,I,I,LC,Secure,A,NE,Not Evaluated,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A892,Zapornia parva,,,B,N,Y-CTC,N,N,54400,6023,16331,6000,16400,cmales,Unk,Unk,LC,Unknown,E,LC,Unknown,"B,W",Gruiformes,Rallidae,"Cranes, Rails, Gallinules and Coots","Rails, gallinules and coots"
A893,Zapornia pusilla,,,B,N,Y-CTC,N,N,9800,112,299,110,300,cmales,Unk,Unk,NT° D1,Near Threatened,C,NT°,Near Threatened,B,Gruiformes,Rallidae,"Cranes, Rails, Gallinules and Coots","Rails, gallinules and coots"
A894,Hydroprogne caspia,,,B,N,Y-CTC,N,N,34800,1733,2044,1700,2100,p,S,D,LC,Depleted,B,NT,Near Threatened,"B,W",Charadriiformes,Laridae,"Waders, Gulls and Auks",Gulls and terns
A897,Spilopelia senegalensis,,,B,N,N,N,N,600,65,73,60,80,p,Unk,I,NT°° D1,Near Threatened,C,NE,Not Evaluated,B,Columbiformes,Columbidae,Pigeons and Doves,Pigeons and doves
A898,Accipiter nisus all others,,Sub-species,B,N,N,N,N,2760000,198134,340842,198000,341000,p,S,I,LC,Secure,A,NE,Not Evaluated,B,Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A899,Accipiter gentilis all others,,Sub-species,B,N,N,N,N,1890000,56393,95298,56300,95300,p,D,D,LC,Secure,A,NE,Not Evaluated,B,Accipitriformes,Accipitridae,Hawks and Eagles,Hawks and eagles
A900,Melanitta nigra s. str.,sensu stricto [excluding americana],,B,N,N,N,Y,165000,6070,9883,6000,9900,p,Unk,I,LC,Unknown,E,LC,Secure,"B,W",Anseriformes,Anatidae,"Ducks, Geese and Swans","Ducks, geese and swans"
A907,Sylvia subalpina,,,B,N,N,N,N,65600,51048,132048,51000,133000,p,I,Unk,LC,Secure,A,NE,Not Evaluated,B,Passeriformes,Sylviidae,Passerines,Warblers
A909,Lyrurus tetrix,,Species-level,B,N,N,N,Y-CTC,954000,523441,867600,523000,868000,cmales,D,D,VU A2bcde+3bcde+4bcde,Threatened,C,LC,Depleted,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
