speciescode,speciesname,sub_unit,levelReport,season_selected,keywintering,annex_i,annex_ii_partA,annex_ii_partB,distribution_surface_area,population_minimum_size_raw,population_maximum_size_raw,population_minimum_size,population_maximum_size,population_size_unit,population_trend,population_trend_long,red_list_cat,conclusion_status_label,contribution_target1,red_list_cat_prev,conclusion_status_label_prev,season_reported,taxOrder,taxFamily,taxGroup_en,taxFamily_en
A101,Falco biarmicus,,,B,N,Y,N,N,82600,140,163,140,170,p,D,S,EN C1,Threatened,C,VU,Threatened,B,Falconiformes,Falconidae,Falcons,Falcons
A102,Falco rusticolus,,,B,N,Y,N,N,99600,96,127,90,130,p,D,D,EN C1+C2a(i),Threatened,C,VU,Threatened,B,Falconiformes,Falconidae,Falcons,Falcons
A103,Falco peregrinus,[including pelegrinoides],,B,N,Y,N,N,1380000,10999,12754,10900,12800,p,I,I,LC,Secure,A,LC,Secure,"B,W",Falconiformes,Falconidae,Falcons,Falcons
A104,Bonasa bonasia,,,B,N,Y,N,Y,921000,548364,926425,548000,927000,p,D,D,VU A2bcd+3bcd+4bcd,Threatened,C,LC,Secure,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A105,Lagopus lagopus,,Species-level,B,N,N,N,N,471000,374861,761711,374000,762000,p,S,D,LC,Depleted,B,VU,Threatened,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A108,Tetrao urogallus,,,B,N,Y,N,Y,790000,468591.3333,1161727.5,468000,1170000,cmales,S,D,LC,Depleted,B,LC,Depleted,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A109,Alectoris graeca,,Species-level,B,N,Y,Y,N,199000,25585,37661,25500,37700,p,Unk,D,NT A2bcd+3bcd+4bcd,Near Threatened,C,VU,Threatened,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A110,Alectoris rufa,,,B,N,N,Y,N,708000,4975443,6846209,4970000,6850000,p,D,D,NT A2bcde+3bcde+4bcde,Near Threatened,C,LC,Declining,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A111,Alectoris barbara,,,B,N,Y,N,Y,34300,7751,20500,7700,20500,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A112,Perdix perdix,,Species-level,B,N,N,Y,N,1290000,767965,1311135,767000,1320000,p,D,D,VU A2bcde+3bcde+4bcde,Threatened,C,LC,Declining,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A113,Coturnix coturnix,,,B,N,N,N,Y,1690000,1133306,2480750,1130000,2490000,cmales,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A115,Phasianus colchicus,,,B,N,N,Y,N,3,50,100,50,100,p,S,Unk,EN D,Threatened,C,LC,Secure,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A115-X,Phasianus colchicus,non-native populations,,B,N,N,Y,N,1750000,2507302,3470806,2500000,3480000,p,S,S,N/A,Secure,A,LC,Secure,B,Galliformes,Phasianidae,"Pheasants, Partridges and Grouse","Pheasants, partridges and grouse"
A118,Rallus aquaticus,,,B,N,N,N,Y,901000,84128,196859,84100,197000,p,Unk,U,LC,Unknown,E,LC,Unknown,B,Gruiformes,Rallidae,"Cranes, Rails, Gallinules and Coots","Rails, gallinules and coots"
A119,Porzana porzana,,,B,N,Y,N,N,331000,8977,21432,8900,21500,cmales,Unk,Unk,LC,Unknown,E,LC,Secure,"B,W",Gruiformes,Rallidae,"Cranes, Rails, Gallinules and Coots","Rails, gallinules and coots"
A122,Crex crex,,,B,N,Y,N,N,731000,119174,276883,119000,277000,cmales,D,S,NT A2bcde+3bcde+4bcde,Near Threatened,C,LC,Secure,B,Gruiformes,Rallidae,"Cranes, Rails, Gallinules and Coots","Rails, gallinules and coots"
A123,Gallinula chloropus,,,B,N,N,N,Y,1870000,672114,920752,672000,921000,p,D,S,LC,Secure,A,LC,Secure,B,Gruiformes,Rallidae,"Cranes, Rails, Gallinules and Coots","Rails, gallinules and coots"
A125,Fulica atra,,,B,N,N,Y,N,1800000,560349,843691,560000,844000,p,S,D,LC,Depleted,B,LC,Declining,"B,W",Gruiformes,Rallidae,"Cranes, Rails, Gallinules and Coots","Rails, gallinules and coots"
A126,Fulica cristata,,,B,N,Y,N,N,4700,21,45,21,45,p,D,F,CR C2a(ii),Threatened,C,EN,Threatened,"B,W",Gruiformes,Rallidae,"Cranes, Rails, Gallinules and Coots","Rails, gallinules and coots"
A127,Grus grus,,,B,N,Y,N,N,1000000,124184,168119,124000,169000,p,I,I,LC,Secure,A,LC,Secure,"B,W",Gruiformes,Gruidae,"Cranes, Rails, Gallinules and Coots",Cranes
A128,Tetrax tetrax,,,B,N,Y,N,N,98600,69568,149540,69500,150000,i,D,D,EN A2bce+3bce+4bce,Threatened,C,VU,Threatened,"B,W",Otidiformes,Otididae,Bustards,Bustards
A129,Otis tarda,,,B,N,Y,N,N,44200,32031,37293,32000,37300,i,D,I,LC,Secure,A,LC,Secure,"B,W",Otidiformes,Otididae,Bustards,Bustards
A130,Haematopus ostralegus,,,B,N,N,N,Y,573000,175029,196488,175000,197000,p,D,D,VU A4abc,Threatened,C,VU,Threatened,"B,W",Charadriiformes,Haematopodidae,"Waders, Gulls and Auks",Oystercatchers
A131,Himantopus himantopus,,,B,N,Y,N,N,217000,23321,74542,23300,74600,p,S,S,LC,Secure,A,LC,Secure,"B,W",Charadriiformes,Recurvirostridae,"Waders, Gulls and Auks",Avocets and stilts
A132,Recurvirostra avosetta,,,B,N,Y,N,N,142000,29847,54830,29800,54900,p,D,S,LC,Secure,A,LC,Secure,"B,W",Charadriiformes,Recurvirostridae,"Waders, Gulls and Auks",Avocets and stilts
A133,Burhinus oedicnemus,,,B,N,Y,N,N,298000,55797,84964,55700,85000,p,Unk,Unk,LC,Unknown,E,LC,Depleted,"B,W",Charadriiformes,Burhinidae,"Waders, Gulls and Auks",Thick-knees
A134,Cursorius cursor,,,B,N,Y,N,N,2300,1109,1109,1100,1200,i,U,U,NT D1,Near Threatened,C,NT,Near Threatened,B,Charadriiformes,Glareolidae,"Waders, Gulls and Auks",Coursers and pratincoles
A135,Glareola pratincola,,,B,N,Y,N,N,37000,4613,8231,4600,8300,p,D,I,NT C1,Near Threatened,C,LC,Secure,B,Charadriiformes,Glareolidae,"Waders, Gulls and Auks",Coursers and pratincoles
A136,Charadrius dubius,,,B,N,N,N,N,1230000,72533,104409,72500,105000,p,Unk,Unk,LC,Unknown,E,LC,Secure,B,Charadriiformes,Charadriidae,"Waders, Gulls and Auks",Plovers
A137,Charadrius hiaticula,,,B,N,N,N,N,384000,27314,40387,27300,40400,p,S,S,LC,Secure,A,LC,Secure,"B,W",Charadriiformes,Charadriidae,"Waders, Gulls and Auks",Plovers
A138,Charadrius alexandrinus,,,B,N,Y,N,N,110000,6659,13934,6600,14000,p,D,D,LC,Declining,C,LC,Declining,"B,W",Charadriiformes,Charadriidae,"Waders, Gulls and Auks",Plovers
A140,Pluvialis apricaria,,,B,N,Y,N,Y,533000,207635,337859,207000,338000,p,S,S,LC,Secure,A,LC,Secure,"B,W",Charadriiformes,Charadriidae,"Waders, Gulls and Auks",Plovers
A141,Pluvialis squatarola,,,W,Y,N,N,Y,,125541,149903,125000,150000,i,S,I,LC,Secure,A,LC,Secure,W,Charadriiformes,Charadriidae,"Waders, Gulls and Auks",Plovers
A142,Vanellus vanellus,,,B,N,N,N,Y,1950000,805804,1137088,805000,1140000,p,D,D,VU A2bce+3bce+4bce,Threatened,C,VU,Threatened,"B,W",Charadriiformes,Charadriidae,"Waders, Gulls and Auks",Plovers
A143,Calidris canutus,,,W,Y,N,N,Y,,403458,486561,403000,487000,i,D,S,LC,Secure,A,LC,Secure,W,Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A144,Calidris alba,,,W,Y,N,N,N,,75197,98965,75100,99000,i,I,I,LC,Secure,A,LC,Secure,W,Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A145,Calidris minuta,,,W,Y,N,N,N,,12812,21215,12800,21300,i,S,S,LC,Secure,A,LC,Secure,"B,W",Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A146,Calidris temminckii,,,B,N,N,N,N,83100,6600,9000,6600,9000,p,D,D,NT A2bce+3bce+4bce,Near Threatened,C,LC,Depleted,B,Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A147,Calidris ferruginea,,,W,Y,N,N,N,,160,1593,160,1600,i,I,F,VU D1,Threatened,B,VU,Threatened,W,Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A148,Calidris maritima,,,W,Y,N,N,N,,14157,17223,14100,17300,i,D,D,NT A2abc,Near Threatened,C,NT,Near Threatened,"B,W",Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A149,Calidris alpina,all non-breeding populations,Species-level,B,N,Y-CTC-EXCP,N,N,146000,30528,50657,30500,50700,p,S,D,LC,Depleted,B,LC,Depleted,"B,W",Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A152,Lymnocryptes minimus,,,B,N,N,Y,N,166000,8761,23321,8700,23400,p,S,Unk,LC,Secure,A,LC,Unknown,B,Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A153,Gallinago gallinago,,,B,N,N,Y,N,1220000,422209,757614,422000,758000,p,D,D,LC,Declining,C,LC,Declining,B,Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A154,Gallinago media,,,B,N,Y,N,N,47500,2220,3790,2200,3800,cmales,D,D,VU C1,Threatened,C,VU,Threatened,B,Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A155,Scolopax rusticola,,,B,N,N,Y,N,1420000,706980,1459685,706000,1460000,cmales,S,S,LC,Secure,A,LC,Secure,B,Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A156,Limosa limosa,all non-breeding populations,,B,N,N,N,Y,106000,37938,46667,37900,46700,p,D,D,EN A2bcde+3bcde+4bcde,Threatened,C,EN,Threatened,"B,W",Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A157,Limosa lapponica,,,B,N,Y,N,Y,12300,1300,4500,1300,4500,p,S,I,LC,Secure,A,LC,Secure,"B,W",Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A158,Numenius phaeopus,,,B,N,N,N,Y,402000,47156,67654,47100,67700,p,I,I,LC,Secure,A,LC,Secure,B,Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A159,Numenius tenuirostris,,,W,Y,Y,N,N,,0,0,0,0,i,Unk,Unk,CR(PE) D,Threatened,C,CR (PE),Threatened,W,Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A160,Numenius arquata,,,B,N,N,N,Y,886000,155204,172343,155000,173000,p,S,D,NT A2abcde,Near Threatened,B,VU,Threatened,"B,W",Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A161,Tringa erythropus,,,B,N,N,N,Y,160000,8957,24466,8900,24500,p,D,D,NT A2bc+3bc+4bc,Near Threatened,C,NT,Near Threatened,B,Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A162,Tringa totanus,,,B,N,N,N,Y,732000,92331,114072,92300,115000,p,D,D,VU A2bc+3bc+4bc,Threatened,C,VU,Threatened,"B,W",Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A163,Tringa stagnatilis,,,B,N,N,N,N,4900,40,107,40,110,p,I,I,VU° D1,Threatened,B,EN,Threatened,B,Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A164,Tringa nebularia,,,B,N,N,N,Y,494000,68494,104417,68400,105000,p,S,S,LC,Secure,A,LC,Secure,B,Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A165,Tringa ochropus,,,B,N,N,N,N,899000,217585,337661,217000,338000,p,D,I,LC,Secure,A,LC,Secure,B,Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A166,Tringa glareola,,,B,N,Y,N,N,573000,422861,562513,422000,563000,p,S,D,LC,Depleted,B,LC,Depleted,B,Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A167,Xenus cinereus,,,B,N,Y,N,N,800,5,8,5,8,p,S,D,CR D,Threatened,B,CR,Threatened,B,Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A168,Actitis hypoleucos,,,B,N,N,N,N,1290000,258766,389302,258000,390000,p,D,D,LC,Declining,C,NT,Near Threatened,B,Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A169,Arenaria interpres,,,B,N,N,N,N,50600,1406,3398,1400,3400,p,D,D,EN A2bce+3bce+4bce,Threatened,C,EN,Threatened,"B,W",Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A170,Phalaropus lobatus,,,B,N,Y,N,N,96400,20058,36072,20000,36100,males,D,D,LC,Declining,C,LC,Unknown,B,Charadriiformes,Scolopacidae,"Waders, Gulls and Auks","Sandpipers, snipes and phalaropes"
A173,Stercorarius parasiticus,,,B,N,N,N,N,56100,1402,2858,1400,2900,p,D,D,EN A2bcd+3bce+4bce,Threatened,C,EN,Threatened,B,Charadriiformes,Stercorariidae,"Waders, Gulls and Auks",Skuas
A174,Stercorarius longicaudus,,,B,N,N,N,N,90800,13600,28000,13600,28000,p,F,F,LC,Secure,A,LC,Secure,B,Charadriiformes,Stercorariidae,"Waders, Gulls and Auks",Skuas
A175,Catharacta skua,,,B,N,N,N,N,16500,9647,9649,9600,9700,p,I,I,LC,Secure,A,LC,Secure,B,Charadriiformes,Stercorariidae,"Waders, Gulls and Auks",Skuas
A176,Larus melanocephalus,,,B,N,Y,N,N,51400,16796,24962,16700,25000,p,I,I,LC,Secure,A,LC,Secure,"B,W",Charadriiformes,Laridae,"Waders, Gulls and Auks",Gulls and terns
A179,Larus ridibundus,,,B,N,N,N,Y,953000,811598,1075405,811000,1080000,p,S,D,VU A2bcde,Threatened,B,LC,Depleted,B,Charadriiformes,Laridae,"Waders, Gulls and Auks",Gulls and terns
A180,Larus genei,,,B,N,Y,N,N,7600,5454,8766,5400,8800,p,Unk,I,LC,Unknown,E,LC,Secure,"B,W",Charadriiformes,Laridae,"Waders, Gulls and Auks",Gulls and terns
A181,Larus audouinii,,,B,N,Y,N,N,36900,15643,20849,15600,20900,p,D,S,VU A3bce+4abce,Threatened,C,LC,Secure,"B,W",Charadriiformes,Laridae,"Waders, Gulls and Auks",Gulls and terns
A182,Larus canus,,,B,N,N,N,Y,978000,221091,317042,221000,318000,p,D,D,LC,Declining,C,LC,Secure,B,Charadriiformes,Laridae,"Waders, Gulls and Auks",Gulls and terns
A183,Larus fuscus,,,B,N,N,N,Y,328000,308813,337075,308000,338000,p,D,I,LC,Secure,A,LC,Secure,B,Charadriiformes,Laridae,"Waders, Gulls and Auks",Gulls and terns
A184,Larus argentatus,,,B,N,N,N,Y,657000,419784,478615,419000,479000,p,D,D,VU A2bcde+3bcde+4bcde,Threatened,C,VU,Threatened,B,Charadriiformes,Laridae,"Waders, Gulls and Auks",Gulls and terns
A185,Larus glaucoides,,,W,Y,N,N,N,,388,436,380,440,i,Unk,Unk,LC°°,Unknown,E,NE,Not Evaluated,W,Charadriiformes,Laridae,"Waders, Gulls and Auks",Gulls and terns
A186,Larus hyperboreus,,,W,Y,N,N,N,,250,329,250,330,i,Unk,Unk,LC°°,Unknown,E,NE,Not Evaluated,W,Charadriiformes,Laridae,"Waders, Gulls and Auks",Gulls and terns
A187,Larus marinus,,,B,N,N,N,Y,242000,28188,44945,28100,45000,p,D,D,NT A2bcde+3bcde+4bcde,Near Threatened,C,LC,Secure,B,Charadriiformes,Laridae,"Waders, Gulls and Auks",Gulls and terns
A188,Rissa tridactyla,,,B,N,N,N,N,31300,207579,293072,207000,294000,p,D,D,EN A2abcd+3bcd+4abcd,Threatened,C,EN,Threatened,B,Charadriiformes,Laridae,"Waders, Gulls and Auks",Gulls and terns
A189,Gelochelidon nilotica,,,B,N,Y,N,N,30700,8092,9836,8000,9900,p,S,I,LC,Secure,A,LC,Secure,B,Charadriiformes,Laridae,"Waders, Gulls and Auks",Gulls and terns
A192,Sterna dougallii,,,B,N,Y,N,N,2000,2486,3071,2400,3100,p,I,I,LC,Secure,A,LC,Secure,B,Charadriiformes,Laridae,"Waders, Gulls and Auks",Gulls and terns
A193,Sterna hirundo,,,B,N,Y,N,N,882000,120929,189589,120000,190000,p,D,I,LC,Secure,A,LC,Secure,B,Charadriiformes,Laridae,"Waders, Gulls and Auks",Gulls and terns
A194,Sterna paradisaea,,,B,N,Y,N,N,430000,179936,282062,179000,283000,p,I,I,LC,Secure,A,LC,Secure,B,Charadriiformes,Laridae,"Waders, Gulls and Auks",Gulls and terns
A197,Chlidonias niger,,,B,N,Y,N,N,67600,11492,17530,11400,17600,p,S,D,LC,Depleted,B,LC,Declining,B,Charadriiformes,Laridae,"Waders, Gulls and Auks",Gulls and terns
A198,Chlidonias leucopterus,,,B,N,N,N,N,5700,604,6016,600,6100,p,F,I,LC,Secure,A,LC,Secure,B,Charadriiformes,Laridae,"Waders, Gulls and Auks",Gulls and terns
A199,Uria aalge,,Species-level,B,N,N,N,N,0,1652828,1669079,1650000,1670000,i,I,I,LC,Secure,A,LC,Secure,B,Charadriiformes,Alcidae,"Waders, Gulls and Auks",Auks
A200,Alca torda,,,B,N,N,N,N,51400,262217,514492,262000,515000,i,I,I,LC,Secure,A,LC,Secure,B,Charadriiformes,Alcidae,"Waders, Gulls and Auks",Auks
A202,Cepphus grylle,,,B,N,N,N,N,94500,76033,93641,76000,93700,i,S,D,LC,Depleted,B,VU,Threatened,B,Charadriiformes,Alcidae,"Waders, Gulls and Auks",Auks
A203,Alle alle,,,W,Y,N,N,N,,0,30,0,30,i,,,NE,Not Evaluated,,NE,Not Evaluated,W,Charadriiformes,Alcidae,"Waders, Gulls and Auks",Auks
A204,Fratercula arctica,,,B,N,N,N,N,16400,601383,601414,601000,602000,p,I,I,LC,Secure,A,NT,Near Threatened,B,Charadriiformes,Alcidae,"Waders, Gulls and Auks",Auks
A205,Pterocles alchata,,,B,N,Y,N,N,19000,7454,8966,7400,9000,p,S,D,LC,Depleted,B,LC,Depleted,B,Pterocliformes,Pteroclidae,Sandgrouse,Sandgrouse
A206,Columba livia,wild populations,,B,N,N,Y,N,523000,2458100,4731700,2450000,4740000,p,S,S,LC,Secure,A,LC,Secure,B,Columbiformes,Columbidae,Pigeons and Doves,Pigeons and doves
A206-X,Columba livia,feral populations,,B,N,N,Y,N,1950000,10318823,18825813,10300000,18900000,p,,,N/A,Not Evaluated,,LC,Secure,B,Columbiformes,Columbidae,Pigeons and Doves,Pigeons and doves
A207,Columba oenas,,,B,N,N,N,Y,1450000,610836,971601,610000,972000,p,I,I,LC,Secure,A,LC,Secure,B,Columbiformes,Columbidae,Pigeons and Doves,Pigeons and doves
A208,Columba palumbus,,Species-level,B,N,N,Y,N,3530000,18967463,25939008,18900000,26000000,p,I,I,LC,Secure,A,LC,Secure,B,Columbiformes,Columbidae,Pigeons and Doves,Pigeons and doves
A209,Streptopelia decaocto,,,B,N,N,N,Y,2830000,5999208,14417500.33,5990000,14500000,p,I,I,LC,Secure,A,LC,Secure,B,Columbiformes,Columbidae,Pigeons and Doves,Pigeons and doves
A210,Streptopelia turtur,,,B,N,N,N,Y,2020000,1983407,3437644,1980000,3440000,p,D,D,NT A2bcde+3bcde+4bcde,Near Threatened,C,NT,Near Threatened,B,Columbiformes,Columbidae,Pigeons and Doves,Pigeons and doves
A211,Clamator glandarius,,,B,N,N,N,N,141000,144638,151713,144000,152000,p,D,S,VU A2b+3b+4b,Threatened,C,LC,Secure,B,Cuculiformes,Cuculidae,Cuckoos,Cuckoos
A212,Cuculus canorus,,,B,N,N,N,N,3580000,2247095.333,3641417,2240000,3650000,cmales,D,S,LC,Secure,A,LC,Secure,B,Cuculiformes,Cuculidae,Cuckoos,Cuckoos
A213,Tyto alba,,,B,N,N,N,N,1380000,75973,164940,75900,165000,p,D,S,LC,Secure,A,LC,Secure,B,Strigiformes,Tytonidae,Owls,Barn-owls
A214,Otus scops,,,B,N,N,N,N,746000,80910,138085,80900,139000,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Strigiformes,Strigidae,Owls,Typical owls
A215,Bubo bubo,,,B,N,Y,N,N,1150000,12900,17878,12900,17900,p,I,I,LC,Secure,A,LC,Secure,B,Strigiformes,Strigidae,Owls,Typical owls
A217,Glaucidium passerinum,,,B,N,Y,N,N,771000,31086,69654,31000,69700,p,S,I,LC,Secure,A,LC,Secure,B,Strigiformes,Strigidae,Owls,Typical owls
A218,Athene noctua,,,B,N,N,N,N,1350000,191847,298666,191000,299000,p,Unk,S,LC,Unknown,E,LC,Unknown,B,Strigiformes,Strigidae,Owls,Typical owls
A219,Strix aluco,,,B,N,N,N,N,2240000,437176,637609,437000,638000,p,S,S,LC,Secure,A,LC,Unknown,B,Strigiformes,Strigidae,Owls,Typical owls
A220,Strix uralensis,,,B,N,Y,N,N,498000,11929,20962,11900,21000,p,S,I,LC,Secure,A,LC,Secure,B,Strigiformes,Strigidae,Owls,Typical owls
A221,Asio otus,,,B,N,N,N,N,1970000,128470,242360,128000,243000,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Strigiformes,Strigidae,Owls,Typical owls
A222,Asio flammeus,,,B,N,Y,N,N,3990000,2161,21568,2100,21600,p,F,D,LC,Depleted,B,LC,Secure,"B,W",Strigiformes,Strigidae,Owls,Typical owls
A223,Aegolius funereus,,,B,N,Y,N,N,924000,17971,122278,17900,123000,p,F,D,LC,Depleted,B,LC,Secure,B,Strigiformes,Strigidae,Owls,Typical owls
A224,Caprimulgus europaeus,,,B,N,Y,N,N,1230000,172921,324047,172000,325000,cmales,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Caprimulgiformes,Caprimulgidae,Swifts and Nightjars,Nightjars
A225,Caprimulgus ruficollis,,,B,N,N,N,N,57200,101000,135000,101000,135000,cmales,D,D,NT A2bc+3bc+4bc,Near Threatened,C,LC,Secure,B,Caprimulgiformes,Caprimulgidae,Swifts and Nightjars,Nightjars
A226,Apus apus,,,B,N,N,N,N,2980000,12425458,19688813.33,12400000,19700000,p,D,D,NT A2bc+3bc+4bc,Near Threatened,C,LC,Secure,B,Caprimulgiformes,Apodidae,Swifts and Nightjars,Swifts
A227,Apus pallidus,,,B,N,N,N,N,879000,161424,1093430,161000,1100000,p,Unk,Unk,LC,Unknown,E,LC,Secure,B,Caprimulgiformes,Apodidae,Swifts and Nightjars,Swifts
A228,Tachymarptis melba,,,B,N,N,N,N,436000,202292,480296,202000,481000,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Caprimulgiformes,Apodidae,Swifts and Nightjars,Swifts
A229,Alcedo atthis,,,B,N,Y,N,N,1580000,59212,156105,59200,157000,p,S,S,LC,Secure,A,VU,Threatened,"B,W",Coraciiformes,Alcedinidae,"Kingfishers, Rollers, Bee-eaters and Hoopoe",Kingfishers
A230,Merops apiaster,,,B,N,N,N,N,805000,3335533,4955460,3330000,4960000,p,S,D,LC,Secure,A,LC,Secure,B,Coraciiformes,Meropidae,"Kingfishers, Rollers, Bee-eaters and Hoopoe",Bee-eaters
A231,Coracias garrulus,,,B,N,Y,N,N,275000,13278,21989,13200,22000,p,Unk,U,LC,Unknown,E,LC,Unknown,B,Coraciiformes,Coraciidae,"Kingfishers, Rollers, Bee-eaters and Hoopoe",Rollers
A232,Upupa epops,,,B,N,N,N,N,1360000,1028284,2063510,1020000,2070000,p,S,S,LC,Secure,A,LC,Secure,B,Bucerotiformes,Upupidae,"Kingfishers, Rollers, Bee-eaters and Hoopoe",Hoopoes
A233,Jynx torquilla,,,B,N,N,N,N,1800000,300158,590835,300000,591000,p,S,D,LC,Depleted,B,LC,Depleted,B,Piciformes,Picidae,Woodpeckers,Woodpeckers
A234,Picus canus,,,B,N,Y,N,N,1180000,84747,150603,84700,151000,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Piciformes,Picidae,Woodpeckers,Woodpeckers
A236,Dryocopus martius,,,B,N,Y,N,N,1950000,193715,296065,193000,297000,p,S,I,LC,Secure,A,LC,Secure,B,Piciformes,Picidae,Woodpeckers,Woodpeckers
A237,Dendrocopos major,,Species-level,B,N,N,N,N,3200000,4543196,6972243,4540000,6980000,p,I,I,LC,Secure,A,LC,Secure,B,Piciformes,Picidae,Woodpeckers,Woodpeckers
A239,Dendrocopos leucotos,,,B,N,Y,N,N,254000,28343,67377,28300,67400,p,Unk,Unk,LC,Unknown,E,LC,Unknown,B,Piciformes,Picidae,Woodpeckers,Woodpeckers
A241,Picoides tridactylus,,,B,N,Y,N,N,541000,41759,76052,41700,76100,p,D,I,LC,Secure,A,LC,Secure,B,Piciformes,Picidae,Woodpeckers,Woodpeckers
A242,Melanocorypha calandra,,,B,N,Y,N,N,288000,4238493,6795163,4230000,6800000,p,S,D,LC,Depleted,B,VU,Threatened,B,Passeriformes,Alaudidae,Passerines,Larks
A243,Calandrella brachydactyla,,,B,N,Y,N,N,298000,1094903,1702287,1090000,1710000,p,I,S,LC,Secure,A,LC,Depleted,B,Passeriformes,Alaudidae,Passerines,Larks
A244,Galerida cristata,,,B,N,N,N,N,1090000,14692559,18496591,14600000,18500000,p,D,D,LC,Declining,C,LC,Declining,B,Passeriformes,Alaudidae,Passerines,Larks
A245,Galerida theklae,,,B,N,Y,N,N,193000,1750590,2842088,1750000,2850000,p,I,I,LC,Secure,A,LC,Secure,"B,W",Passeriformes,Alaudidae,Passerines,Larks
A246,Lullula arborea,,,B,N,Y,N,N,1760000,1585665,3030911,1580000,3040000,p,S,S,LC,Secure,A,LC,Secure,B,Passeriformes,Alaudidae,Passerines,Larks
A247,Alauda arvensis,,,B,N,N,N,Y,3040000,23398921,31696604,23300000,31700000,p,D,D,LC,Declining,C,LC,Declining,"B,W",Passeriformes,Alaudidae,Passerines,Larks
A248,Eremophila alpestris,,,B,N,N,N,N,15500,2252,3950,2200,4000,p,D,D,NT C1,Near Threatened,C,NT,Near Threatened,B,Passeriformes,Alaudidae,Passerines,Larks
A249,Riparia riparia,,,B,N,N,N,N,1460000,1169226,2599653.667,1160000,2600000,p,S,D,LC,Depleted,B,LC,Depleted,B,Passeriformes,Hirundinidae,Passerines,Swallows and martins
A250,Ptyonoprogne rupestris,,,B,N,N,N,N,735000,131848,243088,131000,244000,p,S,I,LC,Secure,A,LC,Secure,B,Passeriformes,Hirundinidae,Passerines,Swallows and martins
